video_id,title,description,published_at,channel_id,channel_title,category_id,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
aaNq2NL6D4A,JAILER 2 - Announcement Teaser | Superstar Rajinikanth | Sun Pictures | Nelson | Anirudh,"Presenting the Official Announcement Teaser of Superstar Rajinikanth's ""JAILER 2"", 
Directed by Nelson & Music by Anirudh.

#Jailer2AnnouncementTeaser #Jailer2 #SuperstarRajinikanth #SunPictures #Nelson #Anirudh 
#SuperSaga #SuperstarSaga #Thalaivar172
----------------------------------------------------------------------------------------------
Listen to the ""Hukum Reloaded"" track on your favorite music service:
Instagram - https://bit.ly/HukumReloaded
Spotify - https://spoti.fi/3CbGdK7
Apple Music - https://apple.co/4ah57Vc
Amazon Music - https://bit.ly/4ajiwvS
YT Music - https://bit.ly/4hxhdfB
Gaana - https://bit.ly/40daoIN
----------------------------------------------------------------------------------------------
Announcement Teaser - Song Credits:
Track Title: Hukum Reloaded (Tamil)
Movie: Jailer 2
Composed by Anirudh Ravichander
Lyrics - Super Subu
Vocals - Anirudh Ravichander, Chorus
-----------------------------------------------------------------------------------------------",2025-01-14T12:29:00Z,UCBnxEdpoZwstJqC1yZpOjRA,Sun TV,24,"['Jailer 2 teser', 'Jailer 2 promo', 'Jailer 2 announcement teaser', 'jailer 2 promo video', 'Jailer 2 Trailer', 'Jailer 2 Movie', 'Jailer 2 announcement video', 'Jailer 2 teaser trailer', 'Jailer 2 anirudh', 'Anirudh musical', 'Anirudh Music', 'Nelson dhilipkumar', 'Nelson direction', 'Jailer 2 release date', 'Rajinikanth new movie', 'Rajinikanth movie promo', 'Jailer 2 tamil movie', 'Jailer 2 expectation']",PT4M,hd,true,7510870,609049,0,0,15366
b3u5greOQrE,New maatu Pongal kolam/5*1 sankranti basavanna muggulu/Pongal special maadu kolam/Super rangoli,"WELCOME BACK TO MY CHANNEL
New maatu Pongal kolam/5*1 sankranti basavanna muggulu/Pongal special maadu kolam/Super rangoli

THANKS FOR WATCHING MY VIDEOS #Superrangoli #kaavikolam#Beautifulrangoli#Amazingrangoli#creativerangoli#pongal2025specialkolam#thaimasamkolam#indianrangoliart#sankrantimuggulu#pandagamuggulu#howtodrawrangoli#Doublestrokerangoli#pongalpaanaikolam#pongalpotrangoli#bhogikundalumuggulu#kaanumpongal#maatupongal#paanaikolam#howtodrawpongalpot********************************************************************************************** Hi friends welcome to my YouTube channel#Superrangoli  my channel have all types of kolamdailyrangoli muggulu or rangolis flower kolam pulli kolam padi kolam newyear rangoli newyear muggulu designs karthigaideepam kolam newyear beautiful rangoli Free hand rangoli sangu kolam creative rangoli simple rangoli new rangoli dots muggulu dots rangoli vellakku kolam markazhi kolam new year rangoli kolam white rangolikolam agal villakku kolam lots of rangoli kolam pongal kolam kolangal easykolangal simple design kolangal pongalkolangal Bhogi kolam mattu pongal kolam thai pongal beautiful rangoli thai poosam rangoli kolam festival rangoli,and many more kolam ,so please leave your valuable comment and suggestion to improve my channel please subscribe our YouTube channel SUPERRANGOLI ||LIKE ||COMMENT ||SHARE || SUBSCRIBE     Kolam is our traditional thank you🙏 *********************************************************",2025-01-14T11:45:26Z,UC0G0sr7BvIX4mf0ZPGLfQQg,Super rangoli,26,"['creative rangoli', 'how to draw rangoli', 'Double stroke rangoli', 'Beautiful rangoli', 'Super rangoli', 'Amazingrangoli', 'Indian rangoli art', 'beautiful rangolidesigns', 'simple newyear kolam', 'Pongal pot rangoli', 'Pongal 2025 kolam', 'thaipongal kolam', 'sankranti muggulu', 'bhogi kundalu muggulu', 'sankranti chukala muggulu', 'Pongal paanai kolam', 'Pongal pot rangoli with dots', 'easy Pongal kolam', 'sankranti 2025 muggulu', 'Pongal kolam with dots', 'Pongal special kolam', 'Maatu Pongal kolam', 'bhogi kolam']",PT4M2S,hd,false,388383,3303,0,0,67
3pbGLeNj7jQ,Bhogi Pongal pot rangoli🌻/Thai Pongal Paanai kolam🌻/sankranti chukala muggulu🌻/super Amazingrangoli,"￼
WELCOME BACK TO MY CHANNEL 
Bhogi Pongal pot rangoli🌻/Thai Pongal Paanai kolam🌻/sankranti chukala muggulu🌻/super Amazingrangoli

THANKS FOR WATCHING MY VIDEOS #Beautifulrangoli#Superrangoli#Amazingrangoli #pongalpotrangoli#pongalpaanaikolam#easypaanaikolam#howtodrawpongalpot#sankrantimuggulu#sankranthichukalamuggulu#bhogikolam#maatupongalkolam#thai1kolam##margazhimasamkolam#pongal2025kolam#pongalfreehandrangoli#dhanurmasammuggulu#margazhikolangal#easyrangoli#indianrangolisrt#creativerangoli#beautifulrangolidesigns#simplepongalkolam#paanaikolamsimple#howtodrawrangoli#thaipongalkolam#floorart*********************************************************************************************** Hi friends welcome to my YouTube channel my channel have all types of kolamdailyrangoli muggulu or rangolis flower kolam pulli kolam padi kolam Free hand rangoli sangu kolam creative rangoli simple rangoli new rangoli dots muggulu dots rangoli vellakku kolam markazhi kolam new year rangoli kolam white rangolikolam agal villakku kolam lots of rangoli kolam pongal kolam kolangal easykolangal simple design kolangal pongalkolangal Bhogi kolam mattu pongal kolam thai pongal beautiful rangoli thai poosam rangoli kolam festival rangoli,and many more kolam ,so please leave your valuable comment and suggestion to improve my channel please subscribe our YouTube channel RANGOLI KOLANGAL ||LIKE ||COMMENT ||SHARE || SUBSCRIBE     
Kolam is our traditional thank you🙏 ***********************************************************************************************",2025-01-13T01:00:21Z,UCLI31jYtMb5vJeodC2O7NrA,Amazing rangoli,26,"['how to draw rangoli', 'free hand rangoli', 'creative rangoli', 'pandaga muggulu', 'Beautiful rangoli', 'Amazing rangoli', 'Super rangoli', 'Beautiful rangoli esigns', 'simple pongalpaanai kolam', '2025 pongal kolam', 'dhanurmasammuggulu', 'Pongal 2025rangoli designs', 'Pongal pot rangoli', 'thaipongalkolam', 'thai 1 kolam', 'sankaranti muggulu', 'makar sankranti muggulu', 'bhogi kolam', 'maatupongal kolam', 'easy paanai kolam', 'how to draw pongalpot', 'bhogi kundalu muggulu', 'Paanai kolam', 'Sankaranti chukala muggulu']",PT6M22S,hd,false,1749995,11813,0,0,233
AWruapvge9A,SHEESHE WALI CHUNNI (Video Song): YO YO HONEY SINGH | SHEHNAAZ GILL | GIRIK AMAN | GLORY | BHUSHAN K,"PRESENTING THE OFFICIAL VIDEO SONG 'SHEESHE WALI CHUNNI', FROM THE ALBUM GLORY, BY YO YO HONEY SINGH.

GULSHAN KUMAR & T-SERIES PRESENTS
BHUSHAN KUMAR’S 'SHEESHE WALI CHUNNI'

#SHEESHEWALICHUNNI #YOYOHONEYSINGH #SHEHNAAZGILL #GIRIKAMAN #GLORY 

♪FULL SONG AVAILABLE ON♪ 
JioSaavn: https://bit.ly/3Mgrwa4
Spotify: https://bit.ly/3yQNqxs
Hungama: https://bit.ly/47dulm9
Apple Music: https://bit.ly/4fVLQer
Gaana: https://bit.ly/4fTnPEX
Amazon Prime Music: https://bit.ly/3X0MNcT
Wynk: https://bit.ly/4cIGPTA
YouTube Music: https://bit.ly/473h7Il

SONG CREDITS:

SONG -SHEESHE WALI CHUNNI
SINGER - YO YO HONEY SINGH , GIRIK AMAN
STARRING: YO YO HONEY SINGH, SHEHNAAZ GILL, GIRIK AMAN & TANU RAWAT
LYRICS- KHAAB, KD DESIROCK, LEO GREWAL
MUSIC - YO YO HONEY SINGH
RECORDED AT MOSIQI STUDIOS AND LPME STUDIOS, DUBAI.
MASTERED BY - HOMMIEE DILLIWALA
MIXING BY -  VINOD VERMA
MUSIC LABEL - T-SERIES

DIRECTED BYR: MIHIR GULATI
DOP : ABHIMANYU SENGUPTA
MARKETING/PROMOTIONS : RDM MEDIA
EDITED BY : HITESH CHANDWANI (FROGALISED PRODUCTIONS)
CHIEF ASSISTANT DIRECTOR : RISHABH DANG 
ASSISTANT DIRECTION : HITESH CHANDWANI, PU ROHIT & VARUN GULATI 
STYLIST : AKANKSHA BHAKOO 
PRODUCTION DESIGNER: DIKSHA SHARMA 
CHOREOGRAPHER - RAJIT DEV 
LINE PRODUCTION: AADESH GOLA AND LOVE K LAVANIA
POSTER & ARTWORK  : RDM MEDIA
COLOR STUDIO : THE POST BROTHERS
COLORIST : ERCAN KUCUK
COLOR PRODUCER : ERTUG OZTURK

TEAM YO YO: ROHIT CHHABRA & SHUBHAM GUPTA

PRODUCTION HOUSE- FROGALISED PRODUCTIONS & TASH FILMS CREATIONS
WARDROBE  
YYHS : KANIKA GOYAL , KHANIJO 
SHEHNAAZ : ROSY AHLUWALIA , SAMEER MADAAN, POCKETFUL OF CHERRIES 
GIRIK : BOHAME , ERODE 
TANU : BOHAME
UNIT PRODUCTION MANAGER- PRASHANT ROHILLA AND JAYANT SHARMAPRODUCTION MANAGER- AKASH RAJPUT AND ASHISH GARG
ASSISTANT CAMERAMAN: ABDUL RAZAK
ART ASSISTANT: SANIA HOOR, CARNATION BLUE (BALRAM SHARMA)
SETTING BOYS: PANKAJ & TEAM
ASSISTANT STYLIST : RITIKA KAPOOR & ANNIE GULATI 
ASSISTANTS - RAVEENA & MANAN
ASSISTANT EDITOR : PU ROHIT

MAKEUP:-
YYHS, GIRIK MAKEUP - PALLAVI KAPOOR 
TANU MAKEUP - PALLAVI KAPOOR AND TANISHKA SHARMA
TANU'S HAIR - VIBHA & SHARIQ
DANCERS'S MAKEUP - POOJA, MONIKA, BRIJESH, SHARIQ, TANISHKA

SHEHNAAZ GILL TEAM -
BUSINESS MANAGER - KAUSHAL SUNIL JOSHI 
MAKEUP - SONIC VIKRAM SARWATE 
HAIR - BALJIT CHEEMA 
PERSONAL ASSISTANT- ADITH AGARWAL 
BODY GUARD - ZUBER SHAIKH 
DRIVER - MANOJ CHAUDHARY
BTS & STILLS: MAYANK DANG
JIMMY JIB: MANISHCASTING DIRECTOR- ANIL KUMAR (AK FILMS)
RAGINI: MOHAN KADIAN
DANCERS COORDINATOR: DIVYA GOEL & BHOMIK GABA DANCERS: CHESHTHA, DEEPALI, HETAL, ISHIKA, MANASVI, RIYA, SAHIRAN, SHIVANI, YASHIKA, YUKTA, 
AKASH, ANKITA, ARSHIYA, VICKY, ANUBHAV, ROUNAK, DEEPAK, DIYA, LAKSHITA, JOEL, SAMVEDNA, ARUSHI, SALONI, PRANJAL, AATIR, ADITYA, AMAN, AYUSH, HARSH, HIMANSHU, KATRINA, MANASVI, OJAL, PRIYANSHU, MEHAK, SHIV, CHUSKIT, TUSHAR, VARSHA, YUKTI.
BAND: SAI BAND

Download Song Beat: https://bit.ly/3Cjh24R 

___________________________________
Enjoy & stay connected with us!
👉 Subscribe to T-Series: https://youtube.com/tseries
👉 Like us on Facebook: https://www.facebook.com/tseriesmusic
👉 Follow us on X: https://twitter.com/tseries
👉 Follow us on Instagram: https://instagram.com/tseries.official",2025-01-12T05:30:07Z,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,10,"['tseries', 'tseries songs', 'sheeshe wali chunni song', 'sheeshe wali chunni full video song', 'sheeshe wali chunni yo yo honey singh', 'honey singh sheeshe wali chunni', 'sheeshe wali chunni full song', 'sheeshe wali chunni shehnaaz gill', 'yo yo honey singh and shehnaaz gill', 'honey singh and shehnaaz gill song', 'sheeshe waali chunni', 'shehnaaz gill dance', 'sheeshe wali chunni dance', 'sheeshe waali chunni rap', 'honey singh and girik aman', 'girik aman sheeshe wali chunni', 'yo yo honey singh', 'shehnaaz']",PT4M1S,hd,false,23065092,1029920,0,0,65608
X3RoEpVR4jQ,Pongal 2025 simple kolam🌹/5*3 sankranti muggulu designs🌹/bhogi kundalu muggulu🌹/Amazingrangoli,"￼
WELCOME BACK TO MY CHANNEL 
Pongal 2025 simple kolam🌹/5*3 sankranti muggulu designs🌹/bhogi kundalu muggulu🌹/Amazingrangoli

THANKS FOR WATCHING MY VIDEOS #Beautifulrangoli#Superrangoli#Amazingrangoli #pongalpotrangoli#pongalpaanaikolam#easypaanaikolam#howtodrawpongalpot#sankrantimuggulu#sankranthichukalamuggulu#bhogikolam#maatupongalkolam#thai1kolam##margazhimasamkolam#pongal2025kolam#pongalfreehandrangoli#dhanurmasammuggulu#margazhikolangal#easyrangoli#indianrangolisrt#creativerangoli#beautifulrangolidesigns#simplepongalkolam#paanaikolamsimple#howtodrawrangoli#thaipongalkolam#floorart*********************************************************************************************** Hi friends welcome to my YouTube channel my channel have all types of kolamdailyrangoli muggulu or rangolis flower kolam pulli kolam padi kolam Free hand rangoli sangu kolam creative rangoli simple rangoli new rangoli dots muggulu dots rangoli vellakku kolam markazhi kolam new year rangoli kolam white rangolikolam agal villakku kolam lots of rangoli kolam pongal kolam kolangal easykolangal simple design kolangal pongalkolangal Bhogi kolam mattu pongal kolam thai pongal beautiful rangoli thai poosam rangoli kolam festival rangoli,and many more kolam ,so please leave your valuable comment and suggestion to improve my channel please subscribe our YouTube channel RANGOLI KOLANGAL ||LIKE ||COMMENT ||SHARE || SUBSCRIBE     
Kolam is our traditional thank you🙏 ***********************************************************************************************",2025-01-13T04:42:36Z,UCLI31jYtMb5vJeodC2O7NrA,Amazing rangoli,26,"['how to draw rangoli', 'free hand rangoli', 'creative rangoli', 'pandaga muggulu', 'Beautiful rangoli', 'Amazing rangoli', 'Super rangoli', 'Beautiful rangoli esigns', 'simple pongalpaanai kolam', '2025 pongal kolam', 'dhanurmasammuggulu', 'Pongal 2025rangoli designs', 'Pongal pot rangoli', 'thaipongalkolam', 'thai 1 kolam', 'sankaranti muggulu', 'makar sankranti muggulu', 'bhogi kolam', 'maatupongal kolam', 'easy paanai kolam', 'how to draw pongalpot', 'bhogi kundalu muggulu', 'Paanai kolam', 'Sankaranti chukala muggulu']",PT5M36S,hd,false,847220,4243,0,0,51
1i8nRZfJWyM,Pongal pot rangoli 2025🌹/sankranti muggulu🌹/ thai Pongal Paanai kolam🌹/bhogi Pongal Amazing rangoli,"￼
WELCOME BACK TO MY CHANNEL 
Pongal pot rangoli 2025🌹/sankranti muggulu🌹/ thai Pongal Paanai kolam🌹/bhogi Pongal Amazing rangoli

THANKS FOR WATCHING MY VIDEOS #Beautifulrangoli#Superrangoli#Amazingrangoli #pongalpotrangoli#pongalpaanaikolam#easypaanaikolam#howtodrawpongalpot#sankrantimuggulu#sankranthichukalamuggulu#bhogikolam#maatupongalkolam#thai1kolam##margazhimasamkolam#pongal2025kolam#pongalfreehandrangoli#dhanurmasammuggulu#margazhikolangal#easyrangoli#indianrangolisrt#creativerangoli#beautifulrangolidesigns#simplepongalkolam#paanaikolamsimple#howtodrawrangoli#thaipongalkolam#floorart*********************************************************************************************** Hi friends welcome to my YouTube channel my channel have all types of kolamdailyrangoli muggulu or rangolis flower kolam pulli kolam padi kolam Free hand rangoli sangu kolam creative rangoli simple rangoli new rangoli dots muggulu dots rangoli vellakku kolam markazhi kolam new year rangoli kolam white rangolikolam agal villakku kolam lots of rangoli kolam pongal kolam kolangal easykolangal simple design kolangal pongalkolangal Bhogi kolam mattu pongal kolam thai pongal beautiful rangoli thai poosam rangoli kolam festival rangoli,and many more kolam ,so please leave your valuable comment and suggestion to improve my channel please subscribe our YouTube channel RANGOLI KOLANGAL ||LIKE ||COMMENT ||SHARE || SUBSCRIBE     
Kolam is our traditional thank you🙏 ***********************************************************************************************",2025-01-13T13:50:41Z,UCLI31jYtMb5vJeodC2O7NrA,Amazing rangoli,26,"['how to draw rangoli', 'free hand rangoli', 'creative rangoli', 'pandaga muggulu', 'Beautiful rangoli', 'Amazing rangoli', 'Super rangoli', 'Beautiful rangoli esigns', 'simple pongalpaanai kolam', '2025 pongal kolam', 'dhanurmasammuggulu', 'Pongal 2025rangoli designs', 'Pongal pot rangoli', 'thaipongalkolam', 'thai 1 kolam', 'sankaranti muggulu', 'makar sankranti muggulu', 'bhogi kolam', 'maatupongal kolam', 'easy paanai kolam', 'how to draw pongalpot', 'bhogi kundalu muggulu', 'Paanai kolam', 'Sankaranti chukala muggulu']",PT6M24S,hd,false,1156403,7393,0,0,179
toFkqqmu46I,Pongalo Pongal - HD Video Song | பொங்கலோ பொங்கல் | Mahanadhi | Kamal Haasan | Ilayaraaja,"#ayngaran  #kamalhaasan #ilaiyaraaja 

Mahanadhi (transl. The Great River) is a 1994 Indian Tamil-language crime drama film directed by Santhana Bharathi and co-written by Kamal Haasan. The film stars Haasan and Sukanya, with S. N. Lakshmi, Tulasi, Shobana, Dinesh, Poornam Viswanathan, Rajesh and V. M. C. Haneefa in supporting roles. It revolves around a widower and his family going through many miseries due to the machinations of a con artist.

Song credits :
Song Name : Pongalo Pongal
Singers : K. S. Chithra
Lyrics : Vaali

Directed by Santhana Bharathi
Screenplay by Kamal Haasan
Ra. Ki. Rangarajan
Story by Kamal Haasan
Produced by S. A. Rajkannu
Starring Kamal Haasan Sukanya
Cinematography M. S. Prabhu
Edited by N. P. Satish
Music by Ilaiyaraaja
Production company Sree Amman Creations

Facebook - https://www.facebook.com/ayngaran/
Instagram - https://www.instagram.com/ayngaran_official/
Twitter - https://twitter.com/ayngaran_offl
YouTube - https://youtube.com/Ayngaran",2025-01-14T00:30:40Z,UCGjn3ZbkkNcQaj00qwJ0DYQ,Ayngaran,10,"['mahanadhi movie songs', 'mahanadhi video songs', 'mahanadi video songs', 'mahanadhi songs', 'kamal hassan hit movie songs', 'mahanadhi pongal song', 'mahanadi shobana songs', 'mahanadhi tamil movie', 'mahanadhi pongalo pongal song', 'mahanathi tamil movie', 'kamal hassan mahanadhi songs', 'sukanya hit songs', 'suganya movies', 'kamal hassan songs', 'pongalo pongal mahanadhi song', 'mahanadi', 'kamal haasan movies', 'mahanadhi', 'பொங்கலோ பொங்கல்']",PT2M30S,hd,false,268200,1808,0,0,60
MFb7LCqm6FE,REAL MADRID 2 vs 5 FC BARCELONA | SPANISH SUPER CUP FINAL | EL CLÁSICO 🔵🔴,"A second rampant win in a Clásico delivers the first trophy of 2024-25 in spectacular style.

SUBSCRIBE NOW:
▶ www.youtube.com/user/fcbarcelona 

📱 App: http://barca.link/kXum50R6rNO
⚽ Barça One: http://barca.link/I32O50QVbj2
🌐 Site: www.fcbarcelona.com
📸 Instagram: http://www.instagram.com/fcbarcelona
𝕏 Twitter: http://twitter.com/FCBarcelona
🎶 Tiktok: https://www.tiktok.com/@fcbarcelona 
🔵 Facebook: http://www.facebook.com/fcbarcelona
👾 Discord: https://discord.gg/fcbarcelonaofficial
🛍 Get all official Barça apparel from FC Barcelona's online store: http://barca.link/j8QH30qQh4Y 
🔵🔴 #FCBarcelona",2025-01-12T21:36:46Z,UC14UlmYlSNiQCBe9Eookf_A,FC Barcelona,17,"['FC Barcelona', 'برشلونة،', 'Fútbol', 'FUTBOL', 'soccer', 'FUTEBOL', 'Sepakbola', 'サッカー', 'كرة القدم', 'football', 'FCB', 'Barça', 'Sport', 'Club', 'ter stegen', 'goat', 'yt:cc=on', 'pedri', 'de Jong', 'lewandowski', 'spotify', 'kounde', 'Gavi', 'Lamine Yamal', 'Balde', 'Lewy', 'Lewandowski', 'Pau Cubarsí', 'CAMP NOU', 'Messi', 'Barcelona', 'Ronald', 'Araujo', 'Christensen', 'Fermín', 'Ferran Torres', 'Sergi Roberto', 'La Liga', 'Frenkie', 'Dani Olmo', 'Hansi Flick', 'Joan Laporta', 'Spotify', 'culer', '2-5', 'Real Madrid', 'Spanish Supercup', 'Final', 'Supercopa', 'Bellingham', 'Mbappé', 'Vinicius', 'Highlights', 'Resumen']",PT4M9S,hd,false,16205950,369281,0,0,11518
e1w1lJ0_VmI,Sangeeth Vlog 🔥 Episode - 2 Mama with Babyma,"ZIGZAGDECORS AND EVENTS 
9080241009/ 8667672418
google map: https://g.co/kgs/4ou1fWX

Hi Buddies,
              
               I hope you enjoy this video, Subscribe my Channel for more videos.. Thank You..! 

Like 👍👍 
Share ↗️↗️↗️ 
Comment 💬💬💬💬 
Subscribe🙏🙏🙏🙏🙏 

Thanks for supporting us🙏🙏🙏🙏🙏🙏 

Our Official mail Id : priyamageshraja@gmail.com

my son youtube channel link
https://www.youtube.com/channel/UCH9gTTsVYlVFcEM6Yl28SBQ

my daughter youtube channel link
https://www.youtube.com/channel/UCewlcGmmdI6pEHsD2kM7sTg

Facebook id :
https://www.facebook.com/profile.php?id=100086962916360&mibextid=LQQJ4d

FOLLOW OUR PAGE ON INSTAGRAM 
https://www.instagram.com/mamawithbabyma 
https://www.instagram.com/arokiagracia
======================================
Disclaimer
This channel does not promote or encourage any
illegal activities.
All contents provided by this channel for General and
Entertainment Purpose only
Copyright disclaimer under section 107 of the
copyright act 1976,allowance is made for ""fair use
policy"" for purposes such as criticism, comment,
news reporting, teaching, scholarship and research.
Fair use is a use permitted by copyright statute that
might otherwise be infringing. Non-profit, educational
or personal use tips the balance in favor of fair use
Some product links are affiliate links which means if you 
buy something we will receive a small commission

#mamawithbabyma #funny #comedy #food #vlog #youtube",2025-01-14T07:03:00Z,UCbUuHPnqUjmnaHnXhLXnl1Q,Mama with Babyma,23,[],PT36M44S,hd,false,669237,12732,0,0,700
xfUQL1ByVbI,The Escape Room EP 02 ft. @ComedianMaheepSingh @pratyushchaubey6761 @abhishekwalia1912,"The Escape Room is the show where we give you the opportunity to confess your darkest secrets and escape from the guilt once and for all. If you have any such confessions which are bothering you and you want to get them off your chest then follow the escape room’s instagram account @theescaperoomindia or our escape master @therealharshgujral for the confession link.

Panelists-:
@therealharshgujral
@abhishek_waliaa
@maheep.singhh
@chaubey.pratyush

Shot at-The laugh store, Cyber hub
Shot and post production by - Play Pause Production

If you have confessions to share straight away, you can submit on the link below. Shortlisted confessions will be called on live show with the choice of anonymity.

https://docs.google.com/forms/d/e/1FAIpQLSdMCKe94QhC8M6nxwFZeukkSLZBBJo07ej3m0jS5ChnWo6oHw/viewform?usp=sf_link

If you have any queries regarding the escape room. Then email us at theescaperoom24@gmail.com",2025-01-12T17:38:14Z,UCGmhWgV9bmslB0Levatl6qA,Harsh gujral,23,"['#comedy', '#Latent', '#Standup', '#indiagotlatent', '#bassi', '#upmanyu', '#Gujral', '#harshgujral', '#escaperoom', '#theescaperoom', '#standupcomedy', '#Jokes']",PT1H11M58S,hd,false,2517575,102794,0,0,5794
